is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
7039P_428664,Styrene_Cont,20.8,
7039P_428664,Cis_Cont,13.6,
7039P_428664,Trans_Cont,15.8,
7039P_428664,Vinyl_Cont,49.8,
7039P_428664,Glass Transition Temperature,-23.2,
7039P_428664,Number Averaged Molecular Weight,314526,
7039P_428664,Weight Averaged Molecular Weight,563211,
7039Z_428665,Mooney Viscosity,59,
7039Z_428665,Mooney Stress Relaxation,2.389,
7039Z_428665,Styrene_Cont,20.2,
7039Z_428665,Cis_Cont,13.8,
7039Z_428665,Trans_Cont,16.2,
7039Z_428665,Vinyl_Cont,49.8,
7039Z_428665,Glass Transition Temperature,-24.6,
7039Z_428665,Number Averaged Molecular Weight,292879,
7039Z_428665,Weight Averaged Molecular Weight,338836,
7039S_428666,Mooney Viscosity,86,
7039S_428666,Mooney Stress Relaxation,1.217,
7039S_428666,Styrene_Cont,20.6,
7039S_428666,Cis_Cont,13.6,
7039S_428666,Trans_Cont,15.9,
7039S_428666,Vinyl_Cont,49.8,
7039S_428666,Glass Transition Temperature,-21.5,
7039S_428666,Number Averaged Molecular Weight,258134,
7039S_428666,Weight Averaged Molecular Weight,501509,
7039V_428667,Mooney Viscosity,77,
7039V_428667,Mooney Stress Relaxation,1.573,
7039V_428667,Styrene_Cont,20.7,
7039V_428667,Cis_Cont,13.3,
7039V_428667,Trans_Cont,15.3,
7039V_428667,Vinyl_Cont,50.6,
7039V_428667,Glass Transition Temperature,-23.0,
7039V_428667,Number Averaged Molecular Weight,241818,
7039V_428667,Weight Averaged Molecular Weight,338800,
7039T_428668,Mooney Viscosity,89,
7039T_428668,Mooney Stress Relaxation,1.144,
7039T_428668,Styrene_Cont,21.1,
7039T_428668,Cis_Cont,13.4,
7039T_428668,Trans_Cont,15.5,
7039T_428668,Vinyl_Cont,50.1,
7039T_428668,Glass Transition Temperature,-22.6,
7039T_428668,Number Averaged Molecular Weight,318257,
7039T_428668,Weight Averaged Molecular Weight,555726,
7039Z_431271,Mooney Viscosity,59,
7039Z_431271,Mooney Stress Relaxation,2.389,
7039Z_431271,Styrene_Cont,20.2,
7039Z_431271,Cis_Cont,13.8,
7039Z_431271,Trans_Cont,16.2,
7039Z_431271,Vinyl_Cont,49.8,
7039Z_431271,Glass Transition Temperature,-24.6,
7039Z_431271,Number Averaged Molecular Weight,292879,
7039Z_431271,Weight Averaged Molecular Weight,338836,
7039M_431272,Mooney Viscosity,76,
7039M_431272,Mooney Stress Relaxation,1.631,
7039M_431272,Styrene_Cont,21.2,
7039M_431272,Cis_Cont,13.5,
7039M_431272,Trans_Cont,16.4,
7039M_431272,Vinyl_Cont,48.9,
7039M_431272,Glass Transition Temperature,-24.1,
7039M_431272,Number Averaged Molecular Weight,262852,
7039M_431272,Weight Averaged Molecular Weight,317948,
7039O_431273,Mooney Viscosity,86,
7039O_431273,Mooney Stress Relaxation,1.045,
7039O_431273,Styrene_Cont,21.2,
7039O_431273,Cis_Cont,13.0,
7039O_431273,Trans_Cont,15.7,
7039O_431273,Vinyl_Cont,50.1,
7039O_431273,Glass Transition Temperature,-23.0,
7039O_431273,Number Averaged Molecular Weight,258623,
7039O_431273,Weight Averaged Molecular Weight,538669,
7039P_431274,Mooney Viscosity,95,
7039P_431274,Mooney Stress Relaxation,0.95,
7039P_431274,Styrene_Cont,20.8,
7039P_431274,Cis_Cont,13.6,
7039P_431274,Trans_Cont,15.8,
7039P_431274,Vinyl_Cont,49.8,
7039P_431274,Glass Transition Temperature,-23.2,
7039P_431274,Number Averaged Molecular Weight,314526,
7039P_431274,Weight Averaged Molecular Weight,563211,
7039Z_431275,Mooney Viscosity,59,
7039Z_431275,Mooney Stress Relaxation,2.389,
7039Z_431275,Styrene_Cont,20.2,
7039Z_431275,Cis_Cont,13.8,
7039Z_431275,Trans_Cont,16.2,
7039Z_431275,Vinyl_Cont,49.8,
7039Z_431275,Glass Transition Temperature,-24.6,
7039Z_431275,Number Averaged Molecular Weight,292879,
7039Z_431275,Weight Averaged Molecular Weight,338836,
7039T_431276,Mooney Viscosity,89,
7039T_431276,Mooney Stress Relaxation,1.144,
7039T_431276,Styrene_Cont,21.1,
7039T_431276,Cis_Cont,13.4,
7039T_431276,Trans_Cont,15.5,
7039T_431276,Vinyl_Cont,50.1,
7039T_431276,Glass Transition Temperature,-22.6,
7039T_431276,Number Averaged Molecular Weight,318257,
7039T_431276,Weight Averaged Molecular Weight,555726,
7039S_431277,Mooney Viscosity,86,
7039S_431277,Mooney Stress Relaxation,1.217,
7039S_431277,Styrene_Cont,20.6,
7039S_431277,Cis_Cont,13.6,
7039S_431277,Trans_Cont,15.9,
7039S_431277,Vinyl_Cont,49.8,
7039S_431277,Glass Transition Temperature,-21.5,
7039S_431277,Number Averaged Molecular Weight,258134,
7039S_431277,Weight Averaged Molecular Weight,501509,
7039V_431278,Mooney Viscosity,77,
7039V_431278,Mooney Stress Relaxation,1.573,
7039V_431278,Styrene_Cont,20.7,
7039V_431278,Cis_Cont,13.3,
7039V_431278,Trans_Cont,15.3,
7039V_431278,Vinyl_Cont,50.6,
7039V_431278,Glass Transition Temperature,-23.0,
7039V_431278,Number Averaged Molecular Weight,241818,
7039V_431278,Weight Averaged Molecular Weight,338800,
7045X_432251,Mooney Viscosity,62,
7045X_432251,Mooney Stress Relaxation,1.768,
7045X_432251,Styrene_Cont,0.0,
7045X_432251,Cis_Cont,0.0,
7045X_432251,Trans_Cont,0.0,
7045X_432251,Vinyl_Cont,0.0,
7045X_432251,Glass Transition Temperature,-24.3,
7045X_432251,Number Averaged Molecular Weight,274287,
7045X_432251,Weight Averaged Molecular Weight,345253,
7046C_432252,Mooney Viscosity,71,
7046C_432252,Mooney Stress Relaxation,1.656,
7046C_432252,Styrene_Cont,0.0,
7046C_432252,Cis_Cont,0.0,
7046C_432252,Trans_Cont,0.0,
7046C_432252,Vinyl_Cont,0.0,
7046C_432252,Glass Transition Temperature,-24.7,
7046C_432252,Number Averaged Molecular Weight,254913,
7046C_432252,Weight Averaged Molecular Weight,318306,
7046A_432253,Mooney Viscosity,76,
7046A_432253,Mooney Stress Relaxation,1.461,
7046A_432253,Styrene_Cont,0.0,
7046A_432253,Cis_Cont,0.0,
7046A_432253,Trans_Cont,0.0,
7046A_432253,Vinyl_Cont,0.0,
7046A_432253,Glass Transition Temperature,-22.5,
7046A_432253,Number Averaged Molecular Weight,266918,
7046A_432253,Weight Averaged Molecular Weight,318493,
7046B_432254,Mooney Viscosity,76,
7046B_432254,Mooney Stress Relaxation,1.428,
7046B_432254,Styrene_Cont,0.0,
7046B_432254,Cis_Cont,0.0,
7046B_432254,Trans_Cont,0.0,
7046B_432254,Vinyl_Cont,0.0,
7046B_432254,Glass Transition Temperature,-23.4,
7046B_432254,Number Averaged Molecular Weight,262490,
7046B_432254,Weight Averaged Molecular Weight,323590,
7045X_432255,Mooney Viscosity,62,
7045X_432255,Mooney Stress Relaxation,1.768,
7045X_432255,Styrene_Cont,0.0,
7045X_432255,Cis_Cont,0.0,
7045X_432255,Trans_Cont,0.0,
7045X_432255,Vinyl_Cont,0.0,
7045X_432255,Glass Transition Temperature,-24.3,
7045X_432255,Number Averaged Molecular Weight,274287,
7045X_432255,Weight Averaged Molecular Weight,345253,
7046B_432256,Mooney Viscosity,76,
7046B_432256,Mooney Stress Relaxation,1.428,
7046B_432256,Styrene_Cont,0.0,
7046B_432256,Cis_Cont,0.0,
